"Statistic Label","Year","Type of Urban or Rural Area","Small Area","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","127105023","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","048018005","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","097005001","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","047218001","Number","167"
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","107029001","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","227081002/227081006","Number","281"
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","117022002","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","047253008","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","067079001","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","247073002","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","077048001","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","217044001","Number",""
